Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
2020-12-17 - plate scFv3,Experiment,Group,,A1,Experiment,None,N/A,All Events,N/A,N/A,9530,100,95.300,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-17 - plate scFv3,Experiment,Group,,A1,Experiment,None,,R1,FSC-A,SSC-A,8926,100,89.260,93.662,93.662,605510,17698,538415,14499,494693,12121,192412.40,8894.53,31.78,50.26,121419.01,6578.30,22.55,45.37
2020-12-17 - plate scFv3,Experiment,Group,,A1,Experiment,None,,R2,BL1-A,,256,100,2.560,2.686,2.868,7336,N/A,5966,N/A,9483,N/A,7848.93,N/A,106.99,N/A,6232.85,N/A,104.48,N/A
2020-12-17 - plate scFv3,Experiment,Group,,A1,Experiment,None,,R1,BL1-A,,8926,100,89.260,93.662,93.662,361,N/A,139,N/A,-21,N/A,1791.96,N/A,497.01,N/A,100.08,N/A,72.26,N/A
2020-12-17 - plate scFv3,Experiment,Group,,A2,Experiment,None,N/A,All Events,N/A,N/A,8805,100,88.050,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-17 - plate scFv3,Experiment,Group,,A2,Experiment,None,,R1,FSC-A,SSC-A,8156,100,81.560,92.629,92.629,574753,18171,517335,15159,507807,12110,199092.34,9016.27,34.64,49.62,129745.29,6784.38,25.08,44.76
2020-12-17 - plate scFv3,Experiment,Group,,A2,Experiment,None,,R2,BL1-A,,1080,100,10.800,12.266,13.242,3886,N/A,2465,N/A,1146,N/A,4164.03,N/A,107.16,N/A,1629.38,N/A,66.11,N/A
2020-12-17 - plate scFv3,Experiment,Group,,A2,Experiment,None,,R1,BL1-A,,8156,100,81.560,92.629,92.629,681,N/A,177,N/A,-20,N/A,1970.67,N/A,289.54,N/A,139.36,N/A,78.74,N/A
2020-12-17 - plate scFv3,Experiment,Group,,A3,Experiment,None,N/A,All Events,N/A,N/A,8939,100,89.390,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-17 - plate scFv3,Experiment,Group,,A3,Experiment,None,,R1,FSC-A,SSC-A,8331,100,83.310,93.198,93.198,473047,17132,460792,15813,449708,15249,120625.39,6252.38,25.50,36.50,94677.35,4560.48,20.55,28.84
2020-12-17 - plate scFv3,Experiment,Group,,A3,Experiment,None,,R2,BL1-A,,8254,100,82.540,92.337,99.076,7785,N/A,6719,N/A,6677,N/A,5640.61,N/A,72.45,N/A,2676.83,N/A,39.84,N/A
2020-12-17 - plate scFv3,Experiment,Group,,A3,Experiment,None,,R1,BL1-A,,8331,100,83.310,93.198,93.198,7716,N/A,6689,N/A,6677,N/A,5659.34,N/A,73.34,N/A,2696.85,N/A,40.32,N/A
2020-12-17 - plate scFv3,Experiment,Group,,A4,Experiment,None,N/A,All Events,N/A,N/A,9673,100,96.730,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-17 - plate scFv3,Experiment,Group,,A4,Experiment,None,,R1,FSC-A,SSC-A,8977,100,89.770,92.805,92.805,615079,18786,537010,15402,487667,13148,205155.86,9426.03,33.35,50.18,132136.72,7398.17,24.61,48.03
2020-12-17 - plate scFv3,Experiment,Group,,A4,Experiment,None,,R2,BL1-A,,362,100,3.620,3.742,4.033,9896,N/A,8493,N/A,11199,N/A,15065.74,N/A,152.24,N/A,7972.68,N/A,93.87,N/A
2020-12-17 - plate scFv3,Experiment,Group,,A4,Experiment,None,,R1,BL1-A,,8977,100,89.770,92.805,92.805,565,N/A,157,N/A,-19,N/A,3577.99,N/A,633.04,N/A,108.23,N/A,68.94,N/A
2020-12-17 - plate scFv3,Experiment,Group,,A5,Experiment,None,N/A,All Events,N/A,N/A,7896,100,78.960,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-17 - plate scFv3,Experiment,Group,,A5,Experiment,None,,R1,FSC-A,SSC-A,7176,100,71.760,90.881,90.881,681136,19618,597083,16728,501357,12628,216591.59,9827.27,31.80,50.09,190762.43,9490.86,31.95,56.74
2020-12-17 - plate scFv3,Experiment,Group,,A5,Experiment,None,,R2,BL1-A,,198,100,1.980,2.508,2.759,7966,N/A,6231,N/A,8806,N/A,7284.75,N/A,91.45,N/A,6177.99,N/A,99.15,N/A
2020-12-17 - plate scFv3,Experiment,Group,,A5,Experiment,None,,R1,BL1-A,,7176,100,71.760,90.881,90.881,378,N/A,151,N/A,-18,N/A,1761.84,N/A,465.73,N/A,111.19,N/A,73.64,N/A
2020-12-17 - plate scFv3,Experiment,Group,,A6,Experiment,None,N/A,All Events,N/A,N/A,8302,100,83.020,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-17 - plate scFv3,Experiment,Group,,A6,Experiment,None,,R1,FSC-A,SSC-A,7739,100,77.390,93.219,93.219,598487,18221,528694,14923,494565,11325,195481.48,9134.97,32.66,50.13,119328.54,6674.67,22.57,44.73
2020-12-17 - plate scFv3,Experiment,Group,,A6,Experiment,None,,R2,BL1-A,,344,100,3.440,4.144,4.445,7985,N/A,5570,N/A,8983,N/A,7163.03,N/A,89.70,N/A,6227.66,N/A,111.82,N/A
2020-12-17 - plate scFv3,Experiment,Group,,A6,Experiment,None,,R1,BL1-A,,7739,100,77.390,93.219,93.219,518,N/A,153,N/A,-15,N/A,2209.83,N/A,427.01,N/A,106.75,N/A,69.77,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B1,Experiment,None,N/A,All Events,N/A,N/A,10053,100,100.530,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B1,Experiment,None,,R1,FSC-A,SSC-A,9283,100,92.830,92.341,92.341,477778,15697,466994,14277,488188,13133,133416.98,6241.60,27.92,39.76,103743.45,4256.54,22.22,29.81
2020-12-17 - plate scFv3,Experiment,Group,,B1,Experiment,None,,R2,BL1-A,,8150,100,81.500,81.070,87.795,5912,N/A,5207,N/A,5833,N/A,4123.99,N/A,69.76,N/A,2699.81,N/A,51.85,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B1,Experiment,None,,R1,BL1-A,,9283,100,92.830,92.341,92.341,5239,N/A,4749,N/A,5833,N/A,4265.29,N/A,81.41,N/A,3131.25,N/A,65.93,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B2,Experiment,None,N/A,All Events,N/A,N/A,7093,100,70.930,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B2,Experiment,None,,R1,FSC-A,SSC-A,6511,100,65.110,91.795,91.795,606426,18504,533083,15086,501741,11157,204909.60,9360.70,33.79,50.59,133128.58,7177.27,24.97,47.58
2020-12-17 - plate scFv3,Experiment,Group,,B2,Experiment,None,,R2,BL1-A,,247,100,2.470,3.482,3.794,8362,N/A,6994,N/A,7142,N/A,7498.68,N/A,89.67,N/A,5765.83,N/A,82.44,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B2,Experiment,None,,R1,BL1-A,,6511,100,65.110,91.795,91.795,474,N/A,147,N/A,-18,N/A,2143.01,N/A,452.36,N/A,102.30,N/A,69.59,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B3,Experiment,None,N/A,All Events,N/A,N/A,8691,100,86.910,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B3,Experiment,None,,R1,FSC-A,SSC-A,8277,100,82.770,95.236,95.236,586659,17406,521764,14339,494634,11312,186418.60,8591.09,31.78,49.36,104223.81,5954.12,19.98,41.52
2020-12-17 - plate scFv3,Experiment,Group,,B3,Experiment,None,,R2,BL1-A,,292,100,2.920,3.360,3.528,9268,N/A,8110,N/A,1050,N/A,9414.07,N/A,101.58,N/A,8605.75,N/A,106.11,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B3,Experiment,None,,R1,BL1-A,,8277,100,82.770,95.236,95.236,486,N/A,150,N/A,-19,N/A,2439.32,N/A,501.83,N/A,99.33,N/A,66.22,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B4,Experiment,None,N/A,All Events,N/A,N/A,8702,100,87.020,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B4,Experiment,None,,R1,FSC-A,SSC-A,8219,100,82.190,94.450,94.450,587564,17682,522410,14698,487900,11483,188297.12,8677.99,32.05,49.08,109255.76,6315.88,20.91,42.97
2020-12-17 - plate scFv3,Experiment,Group,,B4,Experiment,None,,R2,BL1-A,,351,100,3.510,4.034,4.271,8295,N/A,4588,N/A,1181,N/A,9187.61,N/A,110.76,N/A,5202.44,N/A,113.39,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B4,Experiment,None,,R1,BL1-A,,8219,100,82.190,94.450,94.450,519,N/A,155,N/A,-20,N/A,2511.60,N/A,483.93,N/A,103.78,N/A,66.96,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B5,Experiment,None,N/A,All Events,N/A,N/A,7633,100,76.330,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B5,Experiment,None,,R1,FSC-A,SSC-A,7120,100,71.200,93.279,93.279,473140,17839,459283,16403,450053,16097,120130.29,6711.58,25.39,37.62,95545.41,4895.55,20.80,29.85
2020-12-17 - plate scFv3,Experiment,Group,,B5,Experiment,None,,R2,BL1-A,,7027,100,70.270,92.061,98.694,4066,N/A,3506,N/A,3783,N/A,2969.80,N/A,73.03,N/A,1363.99,N/A,38.90,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B5,Experiment,None,,R1,BL1-A,,7120,100,71.200,93.279,93.279,4019,N/A,3487,N/A,3783,N/A,2978.99,N/A,74.12,N/A,1377.34,N/A,39.50,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B6,Experiment,None,N/A,All Events,N/A,N/A,7688,100,76.880,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B6,Experiment,None,,R1,FSC-A,SSC-A,7186,100,71.860,93.470,93.470,601219,18223,524267,14938,468807,10305,201246.69,9144.72,33.47,50.18,118753.29,6955.62,22.65,46.56
2020-12-17 - plate scFv3,Experiment,Group,,B6,Experiment,None,,R2,BL1-A,,273,100,2.730,3.551,3.799,8826,N/A,8976,N/A,9724,N/A,6733.92,N/A,76.30,N/A,8447.85,N/A,94.12,N/A
2020-12-17 - plate scFv3,Experiment,Group,,B6,Experiment,None,,R1,BL1-A,,7186,100,71.860,93.470,93.470,492,N/A,147,N/A,-18,N/A,2115.05,N/A,430.24,N/A,103.78,N/A,70.60,N/A
2020-12-17 - plate scFv3,Experiment,Group,,C1,Experiment,None,N/A,All Events,N/A,N/A,8702,100,87.020,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-17 - plate scFv3,Experiment,Group,,C1,Experiment,None,,R1,FSC-A,SSC-A,8020,100,80.200,92.163,92.163,482775,15416,474571,14267,495074,14066,119115.17,5709.50,24.67,37.04,92977.55,4120.15,19.59,28.88
2020-12-17 - plate scFv3,Experiment,Group,,C1,Experiment,None,,R2,BL1-A,,7843,100,78.430,90.129,97.793,7641,N/A,6790,N/A,6409,N/A,4728.98,N/A,61.89,N/A,2813.97,N/A,41.44,N/A
2020-12-17 - plate scFv3,Experiment,Group,,C1,Experiment,None,,R1,BL1-A,,8020,100,80.200,92.163,92.163,7481,N/A,6715,N/A,6409,N/A,4797.31,N/A,64.13,N/A,2874.76,N/A,42.81,N/A
2020-12-17 - plate scFv3,Experiment,Group,,C2,Experiment,None,N/A,All Events,N/A,N/A,4473,100,44.730,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-17 - plate scFv3,Experiment,Group,,C2,Experiment,None,,R1,FSC-A,SSC-A,4176,100,41.760,93.360,93.360,484328,16588,473029,15169,437932,14848,119045.05,6433.90,24.58,38.79,95383.07,4450.77,20.16,29.34
2020-12-17 - plate scFv3,Experiment,Group,,C2,Experiment,None,,R2,BL1-A,,4133,100,41.330,92.399,98.970,6586,N/A,5746,N/A,5525,N/A,4157.91,N/A,63.13,N/A,2373.64,N/A,41.31,N/A
2020-12-17 - plate scFv3,Experiment,Group,,C2,Experiment,None,,R1,BL1-A,,4176,100,41.760,93.360,93.360,6523,N/A,5709,N/A,5525,N/A,4183.07,N/A,64.13,N/A,2389.95,N/A,41.87,N/A
2020-12-17 - plate scFv3,Experiment,Group,,C3,Experiment,None,N/A,All Events,N/A,N/A,8410,100,84.100,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-17 - plate scFv3,Experiment,Group,,C3,Experiment,None,,R1,FSC-A,SSC-A,7578,100,75.780,90.107,90.107,482687,16247,476379,14981,462239,14046,129166.60,5993.11,26.76,36.89,95947.20,4286.94,20.14,28.62
2020-12-17 - plate scFv3,Experiment,Group,,C3,Experiment,None,,R2,BL1-A,,7455,100,74.550,88.644,98.377,6925,N/A,5980,N/A,5599,N/A,4704.60,N/A,67.93,N/A,2483.35,N/A,41.53,N/A
2020-12-17 - plate scFv3,Experiment,Group,,C3,Experiment,None,,R1,BL1-A,,7578,100,75.780,90.107,90.107,6819,N/A,5925,N/A,5599,N/A,4739.48,N/A,69.50,N/A,2519.68,N/A,42.53,N/A
2020-12-17 - plate scFv3,Experiment,Group,,C4,Experiment,None,N/A,All Events,N/A,N/A,8110,100,81.100,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
